191,59,57,1
159,16,22,1
120,7,11,1
97,3,4,1
108,26,28,1
130,54,58,1
125,46,49,1
137,56,55,1
143,59,59,1
143,49,49,1
141,38,33,1
134,40,32,1
123,22,26,1
118,22,24,1
128,19,25,1
124,18,22,1
108,12,13,1
120,7,11,1
105,2,5,1
168,42,43,1
133,10,15,1
118,3,8,1
130,6,14,1
161,24,34,1
137,7,17,1
117,16,20,1
156,13,19,1
120,15,19,1
213,100,106,1
175,16,21,1
189,185,51,1
194,149,94,1
206,168,71,1
204,178,161,1
224,167,174,1
120,21,26,1
131,30,34,1
123,22,30,1
227,167,175,1
104,6,7,1
94,2,5,1
120,5,10,1
176,39,49,1
99,1,2,1
206,94,92,1
203,97,97,1
210,95,90,1
212,150,151,1
197,148,141,1
219,124,132,1
145,166,27,2
141,160,42,2
107,128,23,2
104,130,3,2
105,131,6,2
104,123,33,2
126,156,29,2
171,197,74,2
150,168,66,2
151,174,58,2
197,216,134,2
177,200,86,2
126,152,17,2
135,162,47,2
125,149,27,2
125,150,22,2
171,197,100,2
121,147,14,2
165,186,85,2
110,135,8,2
144,164,30,2
125,150,22,2
120,158,21,2
140,170,22,2
174,199,98,2
255,255,255,3
147,149,146,3
170,182,182,3
154,156,155,3
151,151,151,3
157,157,157,3
178,166,168,3
213,207,209,3
187,181,183,3
206,200,202,3
210,204,206,3 
223,215,213,3
200,188,188,3
229,229,229,3
211,205,207,3
255,254,255,3
220,216,213,3
228,220,218,3
238,232,234,3
240,236,237,3
142,148,146,3
189,183,185,3
217,217,217,3
197,191,193,3
210,200,199,3

































