255,255,255,3
255,253,255,3
255,254,255,3
254,254,254,3
247,247,247,3
241,243,240,3
233,233,233,3
247,247,245,3
253,251,252,3
226,227,222,3
254,255,253,3
238,236,237,3
249,245,246,3
248,248,248,3
198,184,184,3
248,252,255,3
252,255,255,3
252,252,252,3
229,255,222,3
247,247,247,3
241,241,241,3
253,249,250,3
251,255,255,3
251,255,253,3
247,255,255,3
254,255,255,3
214,208,210,3
253,253,253,3
241,247,243,3
206,206,206,3
197,25,25,1
127,11,12,1
164,28,38,1
105,2,5,1
127,22,27,1
126,6,7,1
126,1,5,1
150,43,49,1
202,187,102,1
183,28,24,1
127,2,6,1
141,17,19,1
126,6,8,1
98,3,7,1
124,4,5,1
121,2,6,1
150,10,11,1
244,171,177,1
145,10,16,1
197,109,121,1
194,101,111,1
183,28,24,1
140,37,30,1
128,4,6,1
116,3,7,1
218,65,59,1
192,107,112,1
114,9,13,1
141,8,9,1
234,91,85,1
167,18,24,1
134,2,13,1
123,4,6,1
94,8,11,1
123,14,19,1
153,167,54,2
147,164,49,2
133,156,6,2
121,148,5,2
121,148,15,2
122,148,15,2
156,185,57,2
85,107,0,2
106,132,22,2
157,150,89,2
157,180,89,2
109,137,14,2
186,202,137,2
149,178,50,2
171,190,75,2
148,178,44,2
148,167,59,2
129,165,31,2
99,126,9,2
163,192,64,2
176,196,101,2
139,164,34,2
167,18,24,2
164,187,73,2
148,175,44,2
152,176,54,2
138,165,34,2
120,156,22,2
128,158,26,2
119,143,23,2
129,143,32,2
106,113,69,2
92,113,0,2
117,142,15,2
155,189,68,2
